Dataset_Index,MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0,0.23829497179796202,0.29927122154460684,730.3400635719299,4,4,9,115.73477053642273
1,0.3672795173507083,0.25820795451423584,669.634762763977,4,4,9,115.73477053642273
2,0.25202350345194163,0.30524994388194926,660.1725387573242,4,4,9,115.73477053642273
3,0.0971406470664318,0.31481966933431116,713.7074136734009,4,4,9,115.73477053642273
4,0.05416812159011775,0.5624474269215753,718.1939890384674,4,4,9,115.73477053642273
5,0.09565425740752297,0.5480795822418543,716.9042816162109,4,4,9,115.73477053642273
6,0.2213113723201298,0.3492130932764502,713.4159977436066,4,4,9,115.73477053642273
7,0.1959145906462372,0.44547706584495994,711.6628642082214,4,4,9,115.73477053642273
8,0.22154910504199266,0.3330402200107273,710.9355099201202,4,4,9,115.73477053642273
9,0.24593085592122385,0.2567379958190976,712.3299057483673,4,4,9,115.73477053642273
0,0.15614839299460254,0.5408309631742877,870.7263035774231,4,5,11,135.26491618156433
1,0.22805643482415494,0.5393959061624908,869.8097012042999,4,5,11,135.26491618156433
2,0.20645295798331154,0.4308736995555871,871.5713741779327,4,5,11,135.26491618156433
3,0.1174702172814798,0.17142530185895377,872.3077538013458,4,5,11,135.26491618156433
4,0.05470383478431702,0.5581201089405746,873.5948212146759,4,5,11,135.26491618156433
5,0.12196331643590225,0.42378191615601846,893.2018642425537,4,5,11,135.26491618156433
6,0.1643486234994594,0.5167174140659463,881.7616498470306,4,5,11,135.26491618156433
7,0.1408171863064131,0.6014265243210517,886.2762367725372,4,5,11,135.26491618156433
8,0.1662116580449306,0.49963015711443615,897.8025481700897,4,5,11,135.26491618156433
9,0.1848742275506881,0.44126576400508455,893.245796918869,4,5,11,135.26491618156433
0,0.18934939590533023,0.44320029124868254,888.8098700046539,5,4,9,139.2902009487152
1,0.3701954153189931,0.2523187344076424,889.7487409114838,5,4,9,139.2902009487152
2,0.2745529750346784,0.24314322989683423,892.5228250026703,5,4,9,139.2902009487152
3,0.12284680841100185,0.1335015840412127,894.7756719589233,5,4,9,139.2902009487152
4,0.05028829856589547,0.5937873829234295,895.166633605957,5,4,9,139.2902009487152
5,0.09494718698703507,0.5514201503302141,893.558892250061,5,4,9,139.2902009487152
6,0.20388092093555574,0.4004689750706927,893.892329454422,5,4,9,139.2902009487152
7,0.18643531249287335,0.4723075184311418,897.1973299980164,5,4,9,139.2902009487152
8,0.18422289174698098,0.44540846001041057,893.9714601039886,5,4,9,139.2902009487152
9,0.24203707802749677,0.26850592607854395,896.3803863525391,5,4,9,139.2902009487152
0,0.17203419480693086,0.4941172687360549,1099.1063532829285,5,5,11,165.47763776779175
1,0.28994339530471186,0.4144032157589772,1101.338492155075,5,5,11,165.47763776779175
2,0.21796367648936918,0.39914224507413,1098.94744515419,5,5,11,165.47763776779175
3,0.1038555461532621,0.26745621319473367,1101.5622670650482,5,5,11,165.47763776779175
4,0.05558990774606119,0.5509626980323641,1099.2261304855347,5,5,11,165.47763776779175
5,0.07588384927310424,0.64148526376098,1100.5193967819214,5,5,11,165.47763776779175
6,0.20061117641738566,0.4100839663765987,1101.1864564418793,5,5,11,165.47763776779175
7,0.15277666937457227,0.5675760202822373,1102.0227620601654,5,5,11,165.47763776779175
8,0.2225485299073292,0.330031513709818,1101.6177279949188,5,5,11,165.47763776779175
9,0.18418655744502338,0.44334406792118763,1102.847467660904,5,5,11,165.47763776779175
0,0.2145802403166046,0.36900662005909346,321.32718992233276,5,1,3,56.614874839782715
1,0.31345896773357995,0.36690896751283275,303.10781383514404,5,1,3,56.614874839782715
2,0.27896489346271475,0.23098094926235757,284.73799777030945,5,1,3,56.614874839782715
3,0.13738326285301622,0.030968885710773497,279.43563532829285,5,1,3,56.614874839782715
4,0.08879365444512276,0.2827535673197875,281.1226592063904,5,1,3,56.614874839782715
5,0.17556698377358135,0.17053033705058696,305.62155842781067,5,1,3,56.614874839782715
6,0.2133006631077276,0.3727693371980685,292.3862009048462,5,1,3,56.614874839782715
7,0.1935476039240233,0.4521766608979805,322.2870297431946,5,1,3,56.614874839782715
8,0.2255722274865626,0.32092886049974356,312.6484680175781,5,1,3,56.614874839782715
9,0.2762818991002417,0.16500986720459032,310.7382962703705,5,1,3,56.614874839782715
0,0.2191598211751594,0.35553993179185817,526.5120196342468,5,2,5,86.76236724853516
1,0.2618645011318104,0.4711139751657043,512.2704067230225,5,2,5,86.76236724853516
2,0.3047142928559854,0.15999790034647654,547.5980553627014,5,2,5,86.76236724853516
3,0.12455492114054259,0.1214534324158626,555.9161412715912,5,2,5,86.76236724853516
4,0.07707929684892802,0.3773783606061566,553.0492460727692,5,2,5,86.76236724853516
5,0.23160586854447784,-0.09422647464541156,560.9049043655396,5,2,5,86.76236724853516
6,0.1882841108467634,0.446332862163478,562.4185483455658,5,2,5,86.76236724853516
7,0.2511342470969229,0.28918158107752345,536.5891036987305,5,2,5,86.76236724853516
8,0.22033186129570317,0.336704656484369,549.7251808643341,5,2,5,86.76236724853516
9,0.3308554495864169,7.551458876742245e-05,556.8241879940033,5,2,5,86.76236724853516
0,0.20858390030218024,0.38663942188368794,793.524603843689,5,3,7,130.06019043922424
1,0.47447950907693326,0.04169683047373807,724.2566912174225,5,3,7,130.06019043922424
2,0.25256126854101507,0.3037674935521396,693.8814997673035,5,3,7,130.06019043922424
3,0.1352489684795446,0.046023104194135356,693.8241846561432,5,3,7,130.06019043922424
4,0.06140605508325739,0.503981740264434,695.2063455581665,5,3,7,130.06019043922424
5,0.11912843015865737,0.43717539204963385,698.5485134124756,5,3,7,130.06019043922424
6,0.23462904707374188,0.310051218010878,695.3097727298737,5,3,7,130.06019043922424
7,0.15480853514082007,0.5618249623197222,692.9939267635345,5,3,7,130.06019043922424
8,0.1946921061181573,0.41389154229441794,696.0041747093201,5,3,7,130.06019043922424
9,0.2291492266780366,0.3074561024917616,696.6185328960419,5,3,7,130.06019043922424